index,seed,bias_neg_binom,rmse_neg_binom,mae_neg_binom,mare_neg_binom,pc_neg_binom,time_neg_binom
38393,0.5,1.54096340278e-05,8.40022202678e-05,3.60361681945e-05,7.40057272214,99.1803278689,455.83
38395,0.5,3.0323274169e-05,4.68339137024e-05,2.13499555555e-05,15.2555390254,93.0327868853,380.555
38398,0.5,1.73561949225e-06,7.92653011173e-05,4.27204740278e-05,11.853011969,99.1803278689,677.565
